Task,uGap,States,Transitions,Choices,Discarded,NumberPermissiveState,Permissiveness
ac-8x5,0.01,231,2572,693,26,221,0.9624819625
ac-8x5,0.03,231,2572,693,28,220,0.9595959596
ac-8x5,0.05,231,2572,693,30,219,0.9567099567
ac-8x5,0.08,231,2572,693,32,218,0.9538239538
ac-8x5,0.1,231,2572,693,36,217,0.9480519481
SAV-5x5,0.01,243,3628,1120,22,217,0.9803571429
SAV-5x5,0.03,243,3628,1120,23,216,0.9794642857
SAV-5x5,0.05,243,3628,1120,24,215,0.9785714286
SAV-5x5,0.08,243,3628,1120,25,214,0.9776785714
SAV-5x5,0.1,243,3628,1120,26,213,0.9767857143
obst-v1-100,0.01,11336,1760,11424,30,21,0.9973739496
obst-v1-100,0.03,11336,1760,11424,37,19,0.9967612045
obst-v1-100,0.05,11336,1760,11424,54,12,0.9952731092
warehouse,0.01,5512,7535,7518,2,2004,0.9997339718
warehouse,0.03,5512,7535,7518,2,2004,0.9997339718
warehouse,0.05,5512,7535,7518,2,2004,0.9997339718
warehouse,0.08,5512,7535,7518,2,2004,0.9997339718
warehouse,0.1,5512,7535,7518,2,2004,0.9997339718